user_id,playlist_adds_last_30d,search_queries_last_30d
1,10.0,19.0
2,3.0,10.0
3,3.0,14.0
4,0.0,11.0
5,0.0,7.0
6,8.0,11.0
7,7.0,5.0
8,0.0,22.0
9,4.0,19.0
10,11.0,6.0
11,7.0,35.0
12,3.0,14.0
13,,14.0
14,0.0,20.0
15,4.0,6.0
16,0.0,6.0
17,1.0,12.0
18,2.0,7.0
19,5.0,9.0
20,0.0,
21,,10.0
22,0.0,19.0
23,3.0,25.0
24,4.0,16.0
25,3.0,23.0
26,2.0,16.0
27,1.0,12.0
28,1.0,20.0
29,0.0,15.0
30,4.0,16.0
31,1.0,8.0
32,8.0,10.0
33,3.0,19.0
34,0.0,20.0
35,5.0,20.0
36,5.0,20.0
37,2.0,12.0
38,2.0,9.0
39,4.0,5.0
40,1.0,
41,3.0,2.0
42,4.0,4.0
43,2.0,4.0
44,4.0,4.0
45,2.0,4.0
46,3.0,
47,0.0,8.0
48,5.0,5.0
49,8.0,28.0
50,0.0,7.0
51,0.0,12.0
52,0.0,16.0
53,0.0,17.0
54,11.0,5.0
55,0.0,3.0
56,7.0,12.0
57,,16.0
58,12.0,15.0
59,0.0,26.0
60,0.0,9.0
61,4.0,11.0
62,5.0,15.0
63,8.0,10.0
64,3.0,15.0
65,5.0,1.0
66,1.0,6.0
67,9.0,6.0
68,2.0,9.0
69,5.0,8.0
70,8.0,20.0
71,0.0,15.0
72,6.0,3.0
73,6.0,4.0
74,8.0,19.0
75,2.0,10.0
76,9.0,16.0
77,3.0,7.0
78,1.0,21.0
79,8.0,16.0
80,3.0,
81,0.0,19.0
82,14.0,21.0
83,0.0,11.0
84,3.0,26.0
85,0.0,8.0
86,0.0,12.0
87,5.0,6.0
88,1.0,21.0
89,3.0,10.0
90,6.0,14.0
91,8.0,13.0
92,,10.0
93,0.0,4.0
94,0.0,10.0
95,0.0,16.0
96,2.0,10.0
97,2.0,6.0
98,0.0,4.0
99,5.0,18.0
100,1.0,5.0
101,2.0,17.0
102,2.0,9.0
103,2.0,10.0
104,6.0,26.0
105,0.0,6.0
106,0.0,17.0
107,5.0,27.0
108,1.0,8.0
109,1.0,8.0
110,5.0,
111,0.0,27.0
112,4.0,4.0
113,6.0,
114,5.0,25.0
115,1.0,9.0
116,1.0,17.0
117,10.0,13.0
118,4.0,12.0
119,5.0,1.0
120,4.0,5.0
121,1.0,5.0
122,5.0,3.0
123,0.0,22.0
124,8.0,1.0
125,2.0,6.0
126,0.0,5.0
127,6.0,
128,,9.0
129,3.0,10.0
130,9.0,12.0
131,2.0,12.0
132,6.0,13.0
133,4.0,12.0
134,10.0,3.0
135,1.0,20.0
136,0.0,2.0
137,3.0,12.0
138,1.0,8.0
139,3.0,8.0
140,1.0,15.0
141,2.0,20.0
142,0.0,15.0
143,4.0,4.0
144,1.0,20.0
145,4.0,16.0
146,2.0,25.0
147,5.0,17.0
148,0.0,14.0
149,0.0,14.0
150,3.0,6.0
151,0.0,19.0
152,3.0,17.0
153,1.0,20.0
154,9.0,4.0
155,1.0,15.0
156,0.0,13.0
157,0.0,34.0
158,5.0,4.0
159,0.0,11.0
160,0.0,2.0
161,0.0,11.0
162,8.0,5.0
163,0.0,13.0
164,0.0,19.0
165,6.0,7.0
166,3.0,7.0
167,3.0,19.0
168,4.0,21.0
169,0.0,13.0
170,1.0,14.0
171,1.0,1.0
172,0.0,12.0
173,3.0,5.0
174,3.0,20.0
175,4.0,27.0
176,10.0,11.0
177,0.0,6.0
178,5.0,9.0
179,0.0,
180,8.0,24.0
181,1.0,21.0
182,3.0,6.0
183,6.0,4.0
184,13.0,7.0
185,2.0,10.0
186,1.0,6.0
187,7.0,12.0
188,3.0,12.0
189,,10.0
190,0.0,13.0
191,9.0,24.0
192,2.0,13.0
193,,18.0
194,4.0,20.0
195,0.0,17.0
196,7.0,2.0
197,5.0,11.0
198,3.0,24.0
199,3.0,17.0
200,0.0,10.0
201,0.0,12.0
202,8.0,10.0
203,9.0,12.0
204,13.0,12.0
205,6.0,8.0
206,1.0,12.0
207,3.0,12.0
208,1.0,4.0
209,3.0,1.0
210,1.0,25.0
211,13.0,18.0
212,3.0,
213,1.0,20.0
214,2.0,3.0
215,5.0,27.0
216,3.0,7.0
217,4.0,11.0
218,1.0,9.0
219,4.0,13.0
220,2.0,9.0
221,5.0,23.0
222,0.0,28.0
223,0.0,8.0
224,2.0,18.0
225,1.0,12.0
226,4.0,2.0
227,1.0,19.0
228,9.0,12.0
229,2.0,8.0
230,0.0,21.0
231,0.0,17.0
232,10.0,12.0
233,20.0,5.0
234,2.0,20.0
235,,16.0
236,0.0,16.0
237,2.0,21.0
238,0.0,5.0
239,2.0,10.0
240,0.0,31.0
241,13.0,17.0
242,3.0,24.0
243,8.0,19.0
244,4.0,4.0
245,0.0,13.0
246,2.0,5.0
247,1.0,8.0
248,5.0,11.0
249,0.0,22.0
250,5.0,11.0
251,8.0,15.0
252,3.0,4.0
253,4.0,9.0
254,0.0,10.0
255,1.0,10.0
256,0.0,10.0
257,3.0,4.0
258,1.0,16.0
