user_id,avg_daily_listening_hours,skip_rate_pct
1,1.6,54.01
2,2.417,14.04
3,0.877,20.48
4,0.758,37.82
5,1.196,36.39
6,2.223,32.49
7,0.519,
8,5.49,61.27
9,2.215,
10,1.962,23.15
11,3.087,52.16
12,,16.42
13,2.724,6.64
14,7.523,60.03
15,3.717,22.48
16,2.456,54.97
17,1.159,15.92
18,1.11,47.07
19,2.115,17.25
20,4.792,9.28
21,4.035,28.44
22,1.103,53.86
23,3.685,58.99
24,0.75,28.87
25,0.928,35.8
26,2.544,40.49
27,1.558,21.51
28,0.436,37.35
29,1.86,10.45
30,0.485,6.92
31,1.096,31.18
32,0.843,17.28
33,2.255,21.25
34,3.594,32.65
35,1.828,16.2
36,1.437,26.11
37,2.132,16.11
38,1.502,25.33
39,4.87,37.45
40,1.442,19.79
41,1.858,26.0
42,2.173,5.75
43,,5.67
44,0.978,26.83
45,2.62,38.7
46,2.525,23.38
47,2.194,49.3
48,2.555,8.74
49,3.321,23.36
50,2.668,65.69
51,,22.86
52,1.796,50.08
53,5.902,43.75
54,0.83,26.59
55,8.489,63.78
56,4.274,6.89
57,1.524,28.79
58,0.344,18.84
59,3.168,36.34
60,1.408,7.41
61,0.196,5.53
62,1.016,13.06
63,4.611,
64,2.867,16.18
65,1.832,22.28
66,2.507,13.14
67,0.31,35.18
68,7.737,51.06
69,2.144,13.91
70,1.262,12.88
71,1.322,13.21
72,0.873,56.22
73,0.905,8.35
74,1.242,54.28
75,0.186,30.99
76,1.456,49.46
77,1.1,46.63
78,1.725,19.78
79,1.518,8.01
80,2.874,39.06
81,6.277,30.02
82,1.366,5.13
83,1.072,39.78
84,3.351,20.58
85,49.779,30.29
86,,26.2
87,0.335,32.93
88,0.822,29.92
89,6.196,24.1
90,1.882,34.07
91,5.248,6.6
92,1.346,9.93
93,2.165,25.9
94,10.304,29.3
95,2.904,52.22
96,1.424,11.56
97,2.138,15.88
98,1.867,32.06
99,1.379,24.37
100,2.448,32.26
101,2.449,20.72
102,2.478,
103,7.238,24.56
104,3.122,17.62
105,3.067,33.75
106,2.221,27.34
107,0.165,31.29
108,0.857,27.16
109,5.687,53.16
110,1.054,20.82
111,2.715,13.47
112,1.641,53.15
113,2.296,21.97
114,,24.76
115,0.869,31.14
116,0.472,14.58
117,2.342,20.38
118,0.547,29.03
119,0.879,14.85
120,37.333,36.85
121,1.116,11.48
122,3.285,2.42
123,1.144,59.63
124,2.586,18.37
125,1.708,7.19
126,,19.28
127,1.46,28.92
128,0.615,37.82
129,0.665,16.65
130,2.018,49.91
131,3.122,44.07
132,1.526,24.37
133,1.308,58.59
134,2.154,30.49
135,1.375,34.73
136,5.25,27.73
137,3.372,18.39
138,3.212,35.04
139,0.916,0.89
140,1.669,19.64
141,4.485,28.63
142,1.716,8.2
143,3.375,49.98
144,0.745,13.5
145,0.984,16.64
146,0.647,19.9
147,2.931,41.79
148,1.532,54.84
149,1.256,64.18
150,4.044,25.47
151,4.04,44.24
152,1.592,18.39
153,3.309,24.64
154,1.683,14.14
155,1.829,32.97
156,8.594,26.99
157,0.864,41.51
158,4.015,21.05
159,4.679,49.5
160,6.597,9.09
161,,37.23
162,0.113,13.96
163,0.55,12.53
164,,51.72
165,0.297,12.53
166,0.518,8.48
167,1.433,25.82
168,3.538,48.21
169,0.464,29.89
170,1.424,28.36
171,0.705,47.72
172,0.494,52.79
173,2.756,
174,1.75,30.96
175,2.083,8.05
176,0.891,24.33
177,2.906,50.45
178,3.762,
179,2.053,65.85
180,,13.13
181,1.064,12.09
182,3.405,40.01
183,1.796,
184,1.056,42.05
185,2.241,40.74
