user_id,city,city_tier,signup_date,account_age_days,subscription_type,retained_30_days,avg_daily_listening_hours,skip_rate_pct,playlist_adds_last_30d,search_queries_last_30d
12889,Chandigarh,Tier 2,2025-08-01,327.0,Free,0,0.72,32.04,5.0,10.0
798,Delhi,Tier 1,2025-07-23,338.0,Premium,1,1.39,18.1,2.0,14.0
25712,Mumbai,Tier 1,2026-04-26,57.0,Premium,1,1.68,20.77,5.0,7.0
43752,Bengaluru,Tier 1,2024-12-02,567.0,Family,0,0.22,17.0,1.0,17.0
37820,Hyderabad,Tier 1,2025-12-23,184.0,Premium,1,0.8,22.84,2.0,19.0
28762,Kolkata,Tier 1,2024-11-28,570.0,Family,1,2.44,23.92,4.0,12.0
22117,Chennai,Tier 1,2025-08-16,313.0,Free,0,1.61,17.02,2.0,13.0
21921,Delhi,Tier 1,2025-10-07,260.0,Family,1,1.43,11.97,5.0,16.0
29741,Ahmedabad,Tier 1,2025-11-04,350.0,Premium,1,0.98,16.02,0.0,8.0
25085,Ahmedabad,Tier 1,2026-04-22,64.0,Premium,1,1.97,17.65,3.0,17.0
32927,Bengaluru,Tier 1,2025-11-21,215.0,Free,1,2.06,23.28,3.0,9.0
5666,Jaipur,Tier 2,2025-01-16,526.0,Free,1,1.17,11.27,3.0,13.0
41421,Kochi,Tier 2,2026-02-13,350.0,Free,1,1.32,17.82,3.0,15.0
27740,Lucknow,Tier 2,2025-10-14,253.0,Free,1,2.29,23.16,2.0,12.0
2259,Mumbai,Tier 1,2025-06-13,379.0,Premium,1,3.4,52.25,1.0,13.0
17271,Mumbai,Tier 1,2024-03-05,844.0,Free,0,1.93,8.88,2.0,16.0
41563,Surat,Tier 2,2024-07-10,714.0,Premium,0,1.09,14.32,2.0,17.0
2660,Delhi,Tier 1,2024-07-19,705.0,Premium,1,1.0,10.16,4.0,9.0
37841,Lucknow,Tier 2,2023-06-23,1094.0,Premium,0,1.6,74.88,0.0,5.0
26377,Hyderabad,Tier 1,2026-04-30,54.0,Free,0,0.93,16.18,3.0,10.0
6397,Surat,Tier 2,2024-10-17,617.0,Premium,0,9.35,71.53,0.0,4.0
40532,Delhi,Tier 1,2026-03-05,109.0,Free,0,2.26,31.18,5.0,15.0
2699,Hyderabad,Tier 1,2023-10-29,971.0,Free,1,0.57,27.24,5.0,18.0
48547,Mumbai,Tier 1,2025-03-18,460.0,Free,1,0.88,24.7,0.0,14.0
11184,Nagpur,Tier 2,2026-02-17,126.0,Free,1,1.99,26.93,6.0,13.0
14324,Bengaluru,Tier 1,2025-11-14,223.0,Premium,0,2.07,29.49,3.0,16.0
2816,Pune,Tier 1,2023-06-08,1111.0,Free,1,2.88,18.35,4.0,12.0
33473,Hyderabad,Tier 1,2025-05-16,401.0,Free,1,1.48,23.8,5.0,17.0
2939,Delhi,Tier 1,2023-12-12,922.0,Premium,0,5.65,86.33,0.0,3.0
13377,Delhi,Tier 1,2025-10-18,251.0,Free,1,0.68,28.45,2.0,120.0
33393,Hyderabad,Tier 1,2025-12-01,204.0,Free,0,1.87,16.28,4.0,14.0
32782,Mumbai,Tier 1,2025-09-07,293.0,Premium,1,0.41,18.87,1.0,13.0
37758,Pune,Tier 1,2025-05-24,399.0,Premium,1,1.14,30.58,3.0,13.0
15299,Mumbai,Tier 1,2025-12-18,190.0,Free,1,1.18,23.16,1.0,14.0
45627,Bhopal,Tier 2,2025-05-06,412.0,Free,1,0.55,27.41,4.0,10.0
10286,Delhi,Tier 1,2026-03-07,109.0,Family,1,0.63,21.05,4.0,10.0
30677,Indore,Tier 2,2025-04-20,432.0,Premium,0,3.55,74.12,0.0,3.0
42529,Ahmedabad,Tier 1,2025-05-18,401.0,Premium,1,1.52,25.21,5.0,120.0
6632,Mumbai,Tier 1,2023-05-15,1136.0,Free,1,0.19,23.16,3.0,12.0
9258,Kochi,Tier 2,2025-02-04,506.0,Premium,0,2.04,78.37,0.0,3.0
12575,Kolkata,Tier 1,2023-04-08,1171.0,Premium,1,1.81,26.41,3.0,15.0
3356,Bengaluru,Tier 1,2026-02-10,135.0,Free,1,0.82,23.16,9.0,11.0
31871,Chennai,Tier 1,2024-06-16,736.0,Premium,1,2.17,18.22,7.0,17.0
11293,Delhi,Tier 1,2021-09-28,1728.0,Free,0,3.08,31.05,1.0,11.0
19216,Kochi,Tier 2,2024-04-02,815.0,Premium,1,2.2,23.16,7.0,12.0
