user_id,playlist_adds_last_30d,search_queries_last_30d
7388,5.0,12.0
45833,5.0,15.0
37103,1.0,14.0
34987,2.0,17.0
36584,3.0,11.0
13090,3.0,20.0
15753,0.0,3.0
5925,2.0,13.0
7759,0.0,2.0
42969,5.0,13.0
20529,0.0,9.0
13192,3.0,12.0
5227,2.0,9.0
39761,1.0,15.0
28268,3.0,17.0
24675,3.0,6.0
2429,1.0,8.0
33292,2.0,14.0
7649,2.0,21.0
1508,8.0,19.0
12936,1.0,16.0
11677,3.0,11.0
9910,6.0,16.0
29524,2.0,18.0
29162,3.0,11.0
12529,3.0,10.0
30247,5.0,12.0
3963,4.0,16.0
4143,7.0,16.0
19740,3.0,12.0
33492,1.0,12.0
31557,0.0,4.0
28017,3.0,12.0
5821,0.0,3.0
17514,3.0,15.0
9972,3.0,10.0
8889,2.0,8.0
12185,1.0,9.0
9936,4.0,12.0
27326,4.0,16.0
36397,3.0,14.0
14952,1.0,9.0
20511,0.0,1.0
19524,,15.0
13836,5.0,13.0
14041,1.0,17.0
35610,2.0,21.0
24138,2.0,17.0
47405,3.0,8.0
48095,4.0,10.0
14747,1.0,14.0
7710,4.0,16.0
10720,4.0,14.0
35663,5.0,12.0
25941,2.0,15.0
1620,,7.0
18346,5.0,10.0
41324,0.0,1.0
12596,4.0,12.0
29336,0.0,2.0
29321,3.0,17.0
14609,1.0,9.0
2755,6.0,21.0
24280,1.0,18.0
45359,5.0,7.0
11043,4.0,15.0
21685,0.0,5.0
5278,6.0,17.0
32375,0.0,3.0
17716,6.0,11.0
17141,3.0,19.0
30763,4.0,10.0
44327,3.0,16.0
15598,1.0,7.0
12108,3.0,13.0
48728,6.0,11.0
39552,4.0,15.0
30828,4.0,15.0
30867,3.0,16.0
7773,3.0,20.0
48820,4.0,15.0
35009,6.0,5.0
43632,4.0,12.0
32726,4.0,7.0
17063,2.0,16.0
33978,2.0,240.0
49267,5.0,10.0
28223,4.0,19.0
14347,4.0,12.0
24001,2.0,15.0
2392,2.0,14.0
7978,4.0,18.0
22703,3.0,19.0
32525,5.0,9.0
45979,5.0,9.0
9895,4.0,14.0
28983,4.0,110.0
30476,6.0,
218,3.0,
39825,3.0,12.0
17819,3.0,15.0
43438,4.0,10.0
45397,3.0,16.0
17831,3.0,16.0
18046,0.0,3.0
24319,2.0,13.0
124,10.0,16.0
79,2.0,16.0
29121,2.0,130.0
30696,6.0,9.0
20860,3.0,8.0
9213,1.0,13.0
10085,0.0,2.0
48241,2.0,13.0
35823,0.0,16.0
31730,6.0,9.0
22357,3.0,7.0
34513,3.0,10.0
8173,3.0,16.0
11834,5.0,15.0
9697,5.0,15.0
30796,5.0,16.0
27254,0.0,0.0
27621,5.0,8.0
49433,3.0,16.0
13827,6.0,17.0
3424,3.0,15.0
38809,,18.0
23651,1.0,15.0
39934,4.0,9.0
33655,1.0,12.0
39926,5.0,6.0
45995,4.0,10.0
27660,0.0,4.0
21653,2.0,11.0
41019,2.0,8.0
19409,2.0,19.0
6534,2.0,10.0
39596,5.0,12.0
6394,7.0,17.0
43140,2.0,130.0
44146,4.0,18.0
1914,0.0,3.0
12968,2.0,15.0
31818,1.0,14.0
23732,4.0,6.0
47165,6.0,14.0
17234,5.0,14.0
31180,4.0,11.0
1649,3.0,14.0
14092,6.0,12.0
12877,6.0,16.0
5502,4.0,16.0
40517,4.0,15.0
33587,2.0,9.0
6481,6.0,13.0
14378,3.0,14.0
25755,1.0,12.0
47354,3.0,19.0
12417,0.0,1.0
48571,4.0,16.0
19326,1.0,18.0
24973,1.0,12.0
49337,3.0,
27007,4.0,13.0
29354,0.0,7.0
23800,2.0,18.0
29831,4.0,14.0
5053,3.0,19.0
2424,0.0,3.0
37840,8.0,12.0
4329,2.0,15.0
35770,2.0,19.0
15931,0.0,5.0
49299,0.0,23.0
5509,5.0,15.0
7204,1.0,12.0
1848,4.0,7.0
25919,1.0,13.0
43865,6.0,20.0
17837,,9.0
16797,3.0,8.0
9618,4.0,16.0
24347,5.0,13.0
39859,2.0,10.0
43946,4.0,15.0
43014,3.0,13.0
9439,1.0,11.0
21562,2.0,13.0
26298,2.0,14.0
40796,0.0,3.0
27993,4.0,12.0
14938,4.0,10.0
19073,6.0,13.0
48648,,19.0
9197,2.0,7.0
42308,2.0,15.0
18400,4.0,24.0
39580,7.0,6.0
9846,2.0,14.0
7958,2.0,19.0
19219,6.0,18.0
40011,,
21694,4.0,15.0
44572,3.0,17.0
880,2.0,16.0
49725,4.0,17.0
4661,4.0,11.0
8642,2.0,10.0
26945,,100.0
9974,2.0,14.0
12626,5.0,8.0
13858,0.0,3.0
20115,5.0,19.0
40859,4.0,15.0
8573,2.0,15.0
15380,2.0,13.0
18173,4.0,22.0
47537,3.0,19.0
47733,4.0,13.0
40010,1.0,17.0
11444,0.0,3.0
49217,0.0,17.0
2710,2.0,13.0
33522,,16.0
40325,1.0,19.0
46992,3.0,15.0
42061,10.0,12.0
18921,2.0,17.0
36688,4.0,15.0
17327,0.0,2.0
14631,2.0,12.0
10348,1.0,11.0
6805,4.0,10.0
11684,4.0,20.0
18057,0.0,3.0
48979,4.0,15.0
18822,3.0,13.0
2187,2.0,16.0
28322,2.0,11.0
43429,2.0,14.0
35649,5.0,12.0
2063,4.0,16.0
42637,5.0,11.0
20827,3.0,15.0
25959,3.0,15.0
37925,0.0,9.0
39858,3.0,12.0
1868,,13.0
16233,3.0,14.0
2016,0.0,14.0
2938,,18.0
49767,4.0,6.0
41877,2.0,15.0
24255,4.0,15.0
17750,4.0,13.0
25212,2.0,15.0
32433,0.0,3.0
21943,3.0,19.0
10571,5.0,10.0
10756,1.0,12.0
12076,5.0,16.0
34007,3.0,13.0
16212,,14.0
6284,5.0,24.0
2266,4.0,13.0
47820,5.0,13.0
3011,2.0,12.0
43405,1.0,22.0
7812,0.0,2.0
10439,6.0,13.0
1056,4.0,16.0
17037,2.0,12.0
48456,2.0,15.0
43879,5.0,11.0
10462,2.0,140.0
48815,3.0,19.0
33911,4.0,16.0
38535,4.0,12.0
8853,2.0,10.0
1964,3.0,15.0
15070,6.0,24.0
15852,1.0,18.0
32562,1.0,13.0
9049,,9.0
39499,3.0,13.0
7995,0.0,6.0
17794,4.0,12.0
40597,5.0,21.0
4538,2.0,16.0
28374,2.0,22.0
26000,3.0,19.0
22391,2.0,12.0
36939,1.0,9.0
4541,4.0,9.0
27423,0.0,3.0
48197,0.0,17.0
24025,4.0,13.0
48742,1.0,13.0
14919,5.0,9.0
2896,2.0,9.0
47045,1.0,13.0
46391,4.0,13.0
12435,4.0,8.0
44610,8.0,14.0
29490,7.0,10.0
3577,2.0,9.0
46719,3.0,16.0
5433,5.0,
28257,0.0,2.0
4182,2.0,19.0
38103,3.0,10.0
25346,4.0,19.0
26905,3.0,16.0
3056,,3.0
32345,2.0,11.0
