user_id,avg_daily_listening_hours,skip_rate_pct
15006,4.68,64.93
18243,0.31,76.55
13527,3.65,81.98
13260,1.31,
34591,1.19,12.75
27164,2.5,9.57
107,1.7,9.12
36944,0.37,26.4
22340,1.64,21.23
19805,1.2,33.94
14380,1.25,25.61
24368,0.28,
33092,4.58,24.98
49246,1.83,17.63
19823,2.74,20.74
46005,1.22,14.13
10082,1.05,14.11
40556,1.31,7.75
29701,1.19,24.95
4758,4.01,67.87
44738,,20.03
3881,0.71,21.24
47529,2.71,17.37
7006,0.47,32.34
49255,1.52,37.57
21544,0.72,3.25
2120,1.96,13.81
35249,3.48,14.11
39126,2.57,19.77
36858,2.39,34.58
46096,2.95,22.82
15763,1.09,30.18
26170,1.41,31.26
44683,1.53,21.86
8146,1.29,25.28
5605,4.52,100.0
49081,2.88,21.82
45452,0.93,20.16
39694,5.22,76.39
23699,1.97,17.82
20088,1.48,21.67
6723,2.1,15.91
3048,0.95,16.25
29729,1.72,19.97
34401,0.39,29.66
18314,1.75,28.19
1514,2.27,27.13
635,3.8,4.7
26105,4.06,16.49
32755,2.13,17.26
35257,0.99,34.15
33925,1.77,15.35
48798,2.08,7.17
4278,2.01,89.32499999999999
7003,1.76,17.41
34858,0.27,6.31
2510,1.86,18.83
41861,0.89,12.93
46255,,28.25
23698,4.16,18.82
13411,1.33,34.58
45064,1.13,11.55
38261,3.27,25.57
36813,1.35,27.82
11905,1.26,16.72
20090,1.86,23.38
30914,4.12,18.15
9796,1.18,19.83
47648,2.36,18.27
1414,1.63,17.23
28448,3.81,16.66
46294,1.36,28.28
22327,2.06,26.63
49692,1.96,29.47
13345,1.79,
47038,1.69,17.31
27185,0.42,14.11
841,3.21,18.69
27118,1.33,
1110,1.48,12.76
2998,0.83,27.19
6730,1.74,17.05
27994,2.92,86.83
47455,0.8,27.32
4817,0.15,29.13
15771,1.72,24.14
23532,1.75,13.91
35556,4.58,15.55
14726,1.59,18.61
43183,1.26,16.85
31681,2.65,29.54
23622,5.76,89.29
31979,0.16,16.27
35294,0.89,21.02
22360,1.52,22.91
31670,4.74,80.75
45162,1.78,27.25
37306,1.36,30.34
38549,1.52,15.8
13294,0.93,14.68
20276,1.24,
6146,1.58,31.32
32975,0.63,34.35
41348,1.35,27.37
14720,0.67,28.33
37675,2.02,11.17
33183,0.91,23.32
36493,0.96,25.87
40158,1.49,33.02
6244,2.17,80.37
38223,0.51,21.16
31409,,8.86
35982,1.2,31.15
27515,2.85,79.22
29078,1.52,19.78
9242,0.93,34.68
7389,3.78,15.44
10975,,26.03
35435,2.13,6.1
15354,1.11,32.29
1580,1.68,16.16
46342,5.34,84.46
16414,2.17,8.1
20212,0.74,20.07
15132,1.28,30.81
4534,1.64,28.86
14293,3.54,24.49
31978,,35.12
28103,1.29,29.13
21280,2.27,29.78
