user_id,city,city_tier,signup_date,account_age_days,subscription_type,retained_30_days
12889,Chandigarh,Tier 2,2025-08-01,327.0,Free,0
798,Delhi,Tier 1,2025-07-23,338.0,Premium,1
25712,Mumbai,Tier 1,2026-04-26,57.0,Premium,1
43752,Bengaluru,Tier 1,2024-12-02,567.0,Family,0
37820,Hyderabad,Tier 1,2025-12-23,184.0,Premium,1
28762,Kolkata,Tier 1,2024-11-28,570.0,Family,1
22117,Chennai,Tier 1,2025-08-16,313.0,Free,0
21921,Delhi,Tier 1,2025-10-07,260.0,Family,1
29741,Ahmedabad,Tier 1,2025-11-04,,Premium,1
25085,Ahmedabad,Tier 1,2026-04-22,64.0,Premium,1
32927,Bengaluru,Tier 1,2025-11-21,215.0,Free,1
5666,Jaipur,Tier 2,2025-01-16,526.0,Free,1
41421,Kochi,Tier 2,2026-02-13,,Free,1
27740,Lucknow,Tier 2,2025-10-14,253.0,Free,1
2259,Mumbai,Tier 1,2025-06-13,379.0,Premium,1
17271,Mumbai,Tier 1,2024-03-05,844.0,Free,0
41563,Surat,Tier 2,2024-07-10,714.0,Premium,0
2660,Delhi,Tier 1,2024-07-19,705.0,Premium,1
37841,Lucknow,Tier 2,2023-06-23,1094.0,Premium,0
26377,Hyderabad,Tier 1,2026-04-30,54.0,Free,0
6397,Surat,Tier 2,2024-10-17,617.0,Premium,0
40532,Delhi,Tier 1,2026-03-05,109.0,Free,0
2699,Hyderabad,Tier 1,2023-10-29,971.0,Free,1
48547,Mumbai,Tier 1,2025-03-18,460.0,Free,1
11184,Nagpur,Tier 2,2026-02-17,126.0,Free,1
14324,Bengaluru,Tier 1,2025-11-14,223.0,Premium,0
2816,Pune,Tier 1,2023-06-08,1111.0,Free,1
33473,Hyderabad,Tier 1,2025-05-16,401.0,Free,1
2939,Delhi,Tier 1,2023-12-12,922.0,Premium,0
13377,Delhi,Tier 1,2025-10-18,251.0,Free,1
33393,Hyderabad,Tier 1,2025-12-01,204.0,Free,0
32782,Mumbai,Tier 1,2025-09-07,293.0,Premium,1
37758,Pune,Tier 1,2025-05-24,399.0,Premium,1
15299,Mumbai,Tier 1,2025-12-18,190.0,Free,1
45627,Bhopal,Tier 2,2025-05-06,412.0,Free,1
10286,Delhi,Tier 1,2026-03-07,109.0,Family,1
30677,Indore,Tier 2,2025-04-20,432.0,Premium,0
42529,Ahmedabad,Tier 1,2025-05-18,401.0,Premium,1
6632,Mumbai,Tier 1,2023-05-15,1136.0,Free,1
9258,Kochi,Tier 2,2025-02-04,506.0,Premium,0
12575,Kolkata,Tier 1,2023-04-08,1171.0,Premium,1
3356,Bengaluru,Tier 1,2026-02-10,135.0,Free,1
31871,Chennai,Tier 1,2024-06-16,736.0,Premium,1
11293,Delhi,Tier 1,2021-09-28,1728.0,Free,0
19216,Kochi,Tier 2,2024-04-02,815.0,Premium,1
20436,Chennai,Tier 1,2025-12-16,188.0,Premium,1
21759,Chennai,Tier 1,2024-10-14,617.0,Premium,1
2216,Mumbai,Tier 1,2026-05-17,41.0,Free,1
20387,Bhopal,Tier 2,2026-03-22,92.0,Family,1
8754,Indore,Tier 2,2025-11-27,209.0,Family,1
18874,Pune,Tier 1,2025-04-24,426.0,Family,1
49501,Hyderabad,Tier 1,2025-04-12,440.0,Premium,1
36490,Bhopal,Tier 2,2025-11-24,214.0,Free,1
29426,Mumbai,Tier 1,2025-07-12,344.0,Family,1
12805,Kolkata,Tier 1,2024-01-04,900.0,Premium,0
39069,Jaipur,Tier 2,2025-10-13,254.0,Premium,1
18433,Pune,Tier 1,2026-02-24,123.0,Free,1
34235,Delhi,Tier 1,2025-04-07,445.0,Free,0
22916,Mumbai,Tier 1,2025-11-20,218.0,Family,1
48079,Surat,Tier 2,2025-10-31,237.0,Premium,1
23282,Hyderabad,Tier 1,2025-02-03,508.0,Free,1
30307,Kochi,Tier 2,2025-12-12,980.0,Free,1
43790,Delhi,Tier 1,2024-12-26,542.0,Free,1
8934,Bhopal,Tier 2,2024-04-03,813.0,Family,1
9245,Bengaluru,Tier 1,2025-09-04,290.0,Free,0
33699,Delhi,Tier 1,2024-03-13,832.0,Premium,1
43814,Pune,Tier 1,2025-06-15,372.0,Family,1
37827,Pune,Tier 1,2025-08-02,323.0,Free,1
31961,Patna,Tier 2,2026-05-12,42.0,Free,1
34480,Delhi,Tier 1,2025-06-29,360.0,Family,1
13687,Chennai,Tier 1,2025-08-30,,Free,1
34607,Bengaluru,Tier 1,2025-08-08,322.0,Premium,1
7047,Hyderabad,Tier 1,2021-11-01,1694.0,Premium,0
28447,Mumbai,Tier 1,2025-12-10,199.0,Free,1
41102,Nagpur,Tier 2,2025-06-28,364.0,Family,0
33162,Hyderabad,Tier 1,2025-04-21,427.0,Family,0
16947,Kochi,Tier 2,2026-02-19,122.0,Premium,1
44205,Delhi,Tier 1,2026-05-03,55.0,Free,1
39906,Delhi,Tier 1,2025-11-30,205.0,Premium,1
